person,personLabel,personImage,personGender,child,childLabel,childImage,childGender
Q318263,Michael Redgrave,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Michael%20Redgrave%20portrait.jpg,male,Q380884,Corin Redgrave,http://commons.wikimedia.org/wiki/Special:FilePath/Corin%20Redgrave%20reading%20Poems%20from%20Guant%C3%A1namo.jpg,male
Q16475381,Valerijus Konovalovas,http://commons.wikimedia.org/wiki/Special:FilePath/Ziliute0206%20124.jpg,male,Q381409,Ignatas Konovalovas,http://commons.wikimedia.org/wiki/Special:FilePath/Ignatas%20Konovalovas%20IMG%201241.JPG,male
Q2275413,Dolf Cohen,http://commons.wikimedia.org/wiki/Special:FilePath/Dolf%20Cohen%20%281975%29.jpg,male,Q381657,Job Cohen,http://commons.wikimedia.org/wiki/Special:FilePath/Job%20Cohen%20crop.jpg,male
Q151773,Constantine II of Greece,http://commons.wikimedia.org/wiki/Special:FilePath/King%20Constantine%2002.jpg,male,Q381700,"Pavlos, Crown Prince of Greece",http://commons.wikimedia.org/wiki/Special:FilePath/Pavlos.png,male
Q564889,Queen Anne-Marie of Greece,http://commons.wikimedia.org/wiki/Special:FilePath/Anne-Marie%20of%20Greece%202023%20%28cropped%29.jpg,female,Q381700,"Pavlos, Crown Prince of Greece",http://commons.wikimedia.org/wiki/Special:FilePath/Pavlos.png,male
Q468364,Dhirubhai Ambani,http://commons.wikimedia.org/wiki/Special:FilePath/Dhirubhai%20Ambani%202002%20stamp%20of%20India.jpg,male,Q381748,Anil Ambani,http://commons.wikimedia.org/wiki/Special:FilePath/Anil%20Ambani%20Reliance.jpg,male
Q160318,Norodom Sihanouk,http://commons.wikimedia.org/wiki/Special:FilePath/Norodom%20Sihanouk%20%281983%29.jpg,male,Q381817,Norodom Ranariddh,http://commons.wikimedia.org/wiki/Special:FilePath/Norodom%20Ranariddh%20%282014%29.jpg,male
Q34105,Hosni Mubarak,http://commons.wikimedia.org/wiki/Special:FilePath/Hosni%20Mubarak%20ritratto.jpg,male,Q381863,Gamal Mubarak,http://commons.wikimedia.org/wiki/Special:FilePath/Gamal%20Mubarak.jpg,male
Q238529,Suzanne Mubarak,http://commons.wikimedia.org/wiki/Special:FilePath/Suzanne%20Mubarak%201.jpg,female,Q381863,Gamal Mubarak,http://commons.wikimedia.org/wiki/Special:FilePath/Gamal%20Mubarak.jpg,male
Q99850,Hu Yaobang,http://commons.wikimedia.org/wiki/Special:FilePath/Hu%20Yaobang%20%28cropped%29.jpg,male,Q382318,Hu Deping,http://commons.wikimedia.org/wiki/Special:FilePath/%E8%83%A1%E5%BE%B3%E5%B9%B3.jpg,male
Q11286755,Hori Shigeru,http://commons.wikimedia.org/wiki/Special:FilePath/Hori%20Shigeru.JPG,male,Q382368,Kosuke Hori,http://commons.wikimedia.org/wiki/Special:FilePath/K%C5%8Dsuke%20Hori.jpg,male
Q7122,Michel Audiard,http://commons.wikimedia.org/wiki/Special:FilePath/Identite-MichelAudiard-1952-Sacem.png,male,Q382389,Jacques Audiard,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Audiard%202016.jpg,male
Q433979,Philippe Garrel,http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Garrel%20%282017%29.jpg,male,Q382393,Louis Garrel,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Garrel%20Cannes%202017.jpg,male
Q433979,Philippe Garrel,http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Garrel%20at%20Berlinale%202023.jpg,male,Q382393,Louis Garrel,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Garrel%20Cannes%202017.jpg,male
